match_id,date,tournament,team1_name,team2_name,event_type,decider_map,winner,team1_avg_RATING,team2_avg_RATING,rating_diff,team1_avg_ADR,team2_avg_ADR,team1_avg_KAST,team2_avg_KAST,team1_totalwinrate,team2_totalwinrate,score_team1,score_team2
hltv_match_2371970,2024-05-19T14:00:00Z,CBCS Season 4,9z,RED Canids,Online,Nuke,team2,1.1,1.09,0.01,76.06,73.86,72.26,72.34,0.375,0.4680851063829787,2,3
hltv_match_2372206,2024-05-19T14:25:00Z,RES Regional Series 4 Europe,Sangal,Ninjas in Pyjamas,Online,Ancient,team1,1.09,1.09,0.0,76.18,77.66,71.92,71.46,0.6857142857142857,0.3333333333333333,2,0
hltv_match_2372085,2024-05-19T14:30:00Z,CCT Global Finals 2024,Astralis,BIG,Online,Inferno,team1,1.04,1.07,-0.03,74.66,77.22,70.62,70.68,0.5945945945945946,0.3235294117647059,2,0
hltv_match_2369783,2024-05-19T18:00:00Z,ESL Challenger League Season 47 North America,M80,BOSS,Online,Ancient,team1,1.12,1.06,0.06,77.98,74.1,72.22,71.48,0.5757575757575758,0.3333333333333333,13,7
hltv_match_2369790,2024-05-19T18:55:00Z,ESL Challenger League Season 47 North America,BOSS,M80,Online,Overpass,team2,1.06,1.12,-0.06,74.1,77.98,71.48,72.22,0.4090909090909091,0.6666666666666666,2,13
hltv_match_2372207,2024-05-20T05:00:00Z,RES Regional Series 4 Europe,Monte,Sashi,Online,Vertigo,team1,1.08,1.05,0.03,74.18,74.7,71.92,70.97,0.5217391304347826,0.4722222222222222,2,1
hltv_match_2372086,2024-05-20T05:00:00Z,CCT Global Finals 2024,MIBR,BetBoom,Online,Nuke,team2,1.15,1.1,0.0499999999999998,78.02,75.6,73.48,72.12,0.6226415094339622,0.4827586206896552,1,2
hltv_match_2372301,2024-05-20T08:10:00Z,CCT Season 2 Europe Series 4,SINNERS,VP.Prodigy,Online,Ancient,team1,1.06,1.0,0.06,74.12,73.53,71.74,69.63,0.5205479452054794,0.3333333333333333,2,0
hltv_match_2372208,2024-05-20T08:30:00Z,RES Regional Series 4 Europe,PARIVISION,Sangal,Online,Mirage,team2,1.12,1.09,0.03,76.58,76.18,72.88,71.92,0.4848484848484848,0.6785714285714286,0,2
hltv_match_2372087,2024-05-20T08:30:00Z,CCT Global Finals 2024,BIG,MIBR,Online,Vertigo,team2,1.07,1.15,-0.0799999999999998,77.22,78.02,70.68,73.48,0.5116279069767442,0.4761904761904761,1,2
hltv_match_2372253,2024-05-20T09:15:00Z,CCT Season 2 Europe Series 3,B8,EYEBALLERS,Online,Anubis,team1,1.09,1.03,0.06,75.36,73.06,72.84,70.44,0.5714285714285714,0.3333333333333333,2,0
hltv_match_2372088,2024-05-20T12:10:00Z,CCT Global Finals 2024,Astralis,BetBoom,Online,Nuke,team1,1.04,1.1,-0.06,74.66,75.6,70.62,72.12,0.5833333333333334,0.4642857142857143,2,0
hltv_match_2372210,2024-05-20T14:15:00Z,RES Regional Series 4 Europe,Metizport,Zero Tenacity,Online,Inferno,team2,1.08,1.02,0.06,74.18,74.24,71.6,69.98,0.2916666666666667,0.4146341463414634,1,2
hltv_match_2370007,2024-05-20T15:00:00Z,ESL Challenger League Season 47 South America,9z,BESTIA,Online,Ancient,team1,1.1,1.09,0.01,76.06,75.44,72.26,71.5,0.3870967741935484,0.5434782608695652,13,6
hltv_match_2372089,2024-05-20T15:15:00Z,CCT Global Finals 2024,MIBR,BetBoom,Online,Nuke,team2,1.15,1.1,0.0499999999999998,78.02,75.6,73.48,72.12,0.6346153846153846,0.4814814814814814,1,2
hltv_match_2370014,2024-05-20T16:15:00Z,ESL Challenger League Season 47 South America,BESTIA,9z,Online,Mirage,team1,1.09,1.1,-0.01,75.44,76.06,71.5,72.26,0.5333333333333333,0.4444444444444444,13,4
hltv_match_2370864,2024-05-20T18:00:00Z,ESL Challenger League Season 47 South America,RED Canids,Fluxo,Online,Nuke,team1,1.09,1.11,-0.02,73.86,76.84,72.34,71.78,0.5675675675675675,0.5128205128205128,13,4
hltv_match_2370871,2024-05-20T19:10:00Z,ESL Challenger League Season 47 South America,Fluxo,RED Canids,Online,Mirage,team1,1.11,1.09,0.02,76.84,73.86,71.78,72.34,0.6875,0.4565217391304347,13,10
hltv_match_2370320,2024-05-20T21:00:00Z,ESL Challenger League Season 47 North America,M80,NRG,Online,Ancient,team1,1.12,1.08,0.04,77.98,76.52,72.22,72.28,0.5625,0.5925925925925926,13,8
hltv_match_2370325,2024-05-20T22:00:00Z,ESL Challenger League Season 47 North America,NRG,M80,Online,Vertigo,team2,1.08,1.12,-0.04,76.52,77.98,72.28,72.22,0.6296296296296297,0.6538461538461539,9,13
hltv_match_2372369,2024-05-21T04:00:00Z,European Pro League Season 16,Rebels,UNiTY,Online,Dust2,team2,1.03,1.05,-0.02,73.08,74.8,69.76,69.62,0.4090909090909091,0.3125,0,2
hltv_match_2372090,2024-05-21T06:00:00Z,CCT Global Finals 2024,Liquid,ENCE,Online,Dust2,team1,1.07,1.09,-0.02,78.1,76.48,70.98,71.48,0.6551724137931034,0.3666666666666666,2,0
hltv_match_2372211,2024-05-21T08:00:00Z,RES Regional Series 4 Europe,Monte,Sangal,Online,Mirage,team2,1.08,1.09,-0.01,74.18,76.18,71.92,71.92,0.5147058823529411,0.6666666666666666,1,2
hltv_match_2372091,2024-05-21T08:30:00Z,CCT Global Finals 2024,Aurora,Astralis,Online,Nuke,team2,1.07,1.04,0.03,77.6,74.66,71.34,70.62,0.5111111111111111,0.4571428571428571,1,2
hltv_match_2372092,2024-05-21T11:30:00Z,CCT Global Finals 2024,Eternal Fire,BetBoom,Online,Dust2,team1,1.06,1.1,-0.04,74.34,75.6,71.5,72.12,0.5789473684210527,0.4615384615384615,2,1
hltv_match_2372093,2024-05-21T14:30:00Z,CCT Global Finals 2024,GamerLegion,AMKAL,Online,Nuke,team1,1.05,1.07,-0.02,73.72,75.96,71.2,71.24,0.5666666666666667,0.5,2,1
hltv_match_2370584,2024-05-21T15:00:00Z,ESL Challenger League Season 47 South America,BESTIA,Imperial,Online,Inferno,team1,1.09,1.09,0.0,75.44,75.0,71.5,72.82,0.5227272727272727,0.5588235294117647,19,17
hltv_match_2370590,2024-05-21T16:40:00Z,ESL Challenger League Season 47 South America,Imperial,BESTIA,Online,Nuke,team2,1.09,1.09,0.0,75.0,75.44,72.82,71.5,0.6153846153846154,0.5555555555555556,4,13
hltv_match_2369825,2024-05-21T17:00:00Z,ESL Challenger League Season 47 South America,RED Canids,Sharks,Online,Mirage,team1,1.09,1.11,-0.02,73.86,76.38,72.34,72.46,0.5555555555555556,0.375,13,8
hltv_match_2369831,2024-05-21T18:00:00Z,ESL Challenger League Season 47 South America,Sharks,RED Canids,Online,Vertigo,team1,1.11,1.09,0.02,76.38,73.86,72.46,72.34,0.5681818181818182,0.4666666666666667,13,5
hltv_match_2372406,2024-05-21T21:00:00Z,ESL Challenger League Season 47 North America,NRG,Take Flyte,Online,Ancient,team1,1.08,1.01,0.07,76.52,74.66,72.28,69.92,0.6538461538461539,0.4444444444444444,13,2
hltv_match_2372411,2024-05-21T21:50:00Z,ESL Challenger League Season 47 North America,Take Flyte,NRG,Online,Mirage,team1,1.01,1.08,-0.07,74.66,76.52,69.92,72.28,0.5,0.6153846153846154,13,11
hltv_match_2372314,2024-05-22T05:00:00Z,ESL Challenger League Season 47 Oceania,FlyQuest,Mindfreak,Online,Nuke,team1,1.14,1.08,0.0599999999999998,79.98,76.98,72.7,71.7,0.5909090909090909,0.3888888888888889,13,4
hltv_match_2372315,2024-05-22T05:00:00Z,ESL Challenger League Season 47 Oceania,Rooster,Vantage,Online,Anubis,team1,1.07,0.93,0.14,75.88,68.05,69.83,66.83,0.55,0.0909090909090909,13,3
hltv_match_2372318,2024-05-22T05:50:00Z,ESL Challenger League Season 47 Oceania,Mindfreak,FlyQuest,Online,Inferno,team2,1.08,1.14,-0.0599999999999998,76.98,79.98,71.7,72.7,0.4,0.4285714285714285,1,13
hltv_match_2372319,2024-05-22T05:50:00Z,ESL Challenger League Season 47 Oceania,Vantage,Rooster,Online,Vertigo,team2,0.93,1.07,-0.14,68.05,75.88,66.83,69.83,0.375,0.4761904761904761,2,13
hltv_match_2372094,2024-05-22T06:30:00Z,CCT Global Finals 2024,Liquid,Astralis,Online,Dust2,team1,1.07,1.04,0.03,78.1,74.66,70.98,70.62,0.6428571428571429,0.4411764705882353,2,1
hltv_match_2372095,2024-05-22T10:15:00Z,CCT Global Finals 2024,Eternal Fire,GamerLegion,Online,Vertigo,team1,1.06,1.05,0.01,74.34,73.72,71.5,71.2,0.5675675675675675,0.5384615384615384,2,0
hltv_match_2372213,2024-05-22T11:00:00Z,RES Regional Series 4 Europe,Sangal,Zero Tenacity,Online,Nuke,team1,1.09,1.02,0.07,76.18,74.24,71.92,69.98,0.6764705882352942,0.4,2,1
hltv_match_2372286,2024-05-22T13:00:00Z,Thunderpick World Championship 2024 NA Closed Qualifier 1,Legacy,NRG,Online,Inferno,team2,1.13,1.08,0.0499999999999998,76.82,76.52,73.0,72.28,0.5,0.64,0,2
hltv_match_2370889,2024-05-22T13:45:00Z,ESL Challenger League Season 47 South America,Imperial,Sharks,Online,Mirage,team1,1.09,1.11,-0.02,75.0,76.38,72.82,72.46,0.6274509803921569,0.3846153846153846,13,8
hltv_match_2370006,2024-05-22T14:00:00Z,ESL Challenger League Season 47 South America,MIBR,paiN,Online,Anubis,team1,1.15,1.12,0.0299999999999998,78.02,76.64,73.48,72.98,0.6470588235294118,0.6153846153846154,13,3
hltv_match_2370897,2024-05-22T15:00:00Z,ESL Challenger League Season 47 South America,Sharks,Imperial,Online,Nuke,team1,1.11,1.09,0.02,76.38,75.0,72.46,72.82,0.5581395348837209,0.5757575757575758,13,11
